"instrument","country_pair","year","has_fee_cap","has_fx_disclosure","has_mto_access_clause","has_predeparture_finlit","has_wage_payment_method","binding_or_soft"
"UPI-NPI MOU (India-Nepal)","India/Nepal",2024,FALSE,FALSE,FALSE,FALSE,FALSE,"Bilateral binding"
"NZ RSE admin arrangement","NZ/Pacific",2020,FALSE,FALSE,FALSE,FALSE,TRUE,"Administrative"
"Nepal-UAE labour pact","Nepal/UAE",2019,FALSE,FALSE,FALSE,FALSE,TRUE,"Bilateral binding"
"Nepal-Malaysia MOU","Nepal/Malaysia",2018,FALSE,FALSE,FALSE,FALSE,TRUE,"Bilateral binding"
"Nepal-Korea EPS MOU","Nepal/Korea",2007,FALSE,FALSE,FALSE,FALSE,FALSE,"N/A — silent"
"Korea HRD EPS worker guide","Korea domestic",2023,FALSE,FALSE,FALSE,TRUE,TRUE,"Administrative"
"BSP MORB §298 (domestic)","Philippines domestic",2023,FALSE,TRUE,FALSE,FALSE,FALSE,"Binding (domestic)"
"BSP Circular 1238","Philippines domestic",2026,TRUE,FALSE,FALSE,FALSE,FALSE,"Binding (domestic)"
