"Corridor","Cost $200 (%)","Cost $500 (%)","Fee (%)","FX margin (%)","FX share of cost (%)","Small-transfer penalty (pp)","# services surveyed","Digital share (%)"
"Saudi Arabia -> Nepal",5.03,2.73,3.84,1.19,23.6,2.3,11,2730
"United States -> Nepal",4.41,3.14,2.9,1.51,34.2,1.26,22,7730
"Qatar -> Nepal",4,2.19,3.01,0.98,24.6,1.81,6,1670
"United Arab Emirates -> Nepal",3.41,2.17,2.86,0.55,16.1,1.24,17,2940
"India -> Nepal",3.14,1.52,2.86,0.27,8.7,1.61,21,2380
"Oman -> Nepal",3.11,1.51,2.66,0.45,14.6,1.6,5,0
"United Kingdom -> Nepal",2.9,1.97,1.82,1.07,37,0.93,22,9090
"Malaysia -> Nepal",2.76,1.97,1.52,1.23,44.8,0.79,14,6430
