"term","estimate","std.error","statistic","p.value","model"
"(Intercept)",1.82900532958635,3.21028235417726,0.569733477557332,0.573748720895073,"B: cross-country"
"receiving_countryBangladesh",3.69009025202735,0.453329918474372,8.13996628425918,1.27583986699803e-08,"B: cross-country"
"receiving_countryIndia",-0.711537033132932,0.398882668729404,-1.78382539256332,0.0861295431046247,"B: cross-country"
"receiving_countryPhilippines",-1.02790096842813,0.519134422872336,-1.98002853045425,0.0583762183589499,"B: cross-country"
"num_services",0.0713828764515463,0.0287013900305409,2.48708778130914,0.0196219293463261,"B: cross-country"
"pct_digital",0.0138013900656212,0.0392871002300656,0.351295717545968,0.728197376302753,"B: cross-country"
"sending_countryBahrain",-0.147408692028154,2.51487148058093,-0.0586148012597857,0.953707109305221,"B: cross-country"
"sending_countryCanada",-0.56632246243044,1.54024861546759,-0.367682500567297,0.716086237557592,"B: cross-country"
"sending_countryFrance",2.18070690798169,1.4880399370074,1.46548950316973,0.154777159133128,"B: cross-country"
"sending_countryGermany",2.28571703851578,1.56960130190428,1.45624053429536,0.15729686050925,"B: cross-country"
"sending_countryIndia",-0.520518818630607,2.29882242015819,-0.226428459226001,0.82263891581441,"B: cross-country"
"sending_countryItaly",0.479963353455423,1.52532116975544,0.314663798662401,0.755528259559249,"B: cross-country"
"sending_countryJapan",6.90792247197863,2.39582564436766,2.88331602436031,0.00779773966680257,"B: cross-country"
"sending_countryKuwait",-1.01415646400171,2.08667783095254,-0.486014874437402,0.631027754018508,"B: cross-country"
"sending_countryMalaysia",-0.557821543654864,1.50945019790294,-0.369552797720547,0.714708663531144,"B: cross-country"
"sending_countryNew Zealand",0.253849976734001,1.44942232136906,0.175138724574232,0.862327422091366,"B: cross-country"
"sending_countryOman",1.40428629368596,3.16026939474915,0.444356514675366,0.660461613594343,"B: cross-country"
"sending_countryQatar",1.02069983427343,2.49793559857569,0.408617353808251,0.68616657946591,"B: cross-country"
"sending_countrySaudi Arabia",2.69345123215939,2.30507674989169,1.16848657307656,0.253213329795072,"B: cross-country"
"sending_countrySingapore",-1.1742606482114,1.50815010464692,-0.778609930532283,0.443238437738406,"B: cross-country"
"sending_countrySouth Africa",13.8302914420213,2.23220073281166,6.19580991920954,1.48865320930372e-06,"B: cross-country"
"sending_countrySpain",-0.854703548823739,1.8654604115964,-0.458172976231811,0.650634690526394,"B: cross-country"
"sending_countrySweden",3.17343746648326,1.67455020117338,1.89509843554382,0.0692502208813484,"B: cross-country"
"sending_countryThailand",9.31754513094054,1.68125635028923,5.54201334575636,8.08773847849128e-06,"B: cross-country"
"sending_countryUnited Arab Emirates",0.504392011212787,2.2301216140748,0.226172423974305,0.822835943869052,"B: cross-country"
"sending_countryUnited Kingdom",-2.36497239379202,1.79045007945109,-1.32088150400545,0.198049354018016,"B: cross-country"
"sending_countryUnited States",-1.04005697786264,1.63260293685982,-0.637054457260198,0.529659327800559,"B: cross-country"
