quarter,quarter_date,receiving_country,sending_country,amount_usd,total_cost_pct,mto_cost_pct,bank_cost_pct,num_services,pct_digital
2025_3Q,2025-07-01,Nepal,Saudi Arabia,200,5.02,3.58,11.54,11,27.3
2025_3Q,2025-07-01,Nepal,Saudi Arabia,500,2.73,2.1,5.55,11,27.3
2025_3Q,2025-07-01,Nepal,United Arab Emirates,200,3.41,3.33,4.06,17,29.4
2025_3Q,2025-07-01,Nepal,United Arab Emirates,500,2.17,2.21,1.92,17,29.4
2025_3Q,2025-07-01,Nepal,Qatar,200,4.0,4.0,,6,16.7
2025_3Q,2025-07-01,Nepal,Qatar,500,2.19,2.19,,6,16.7
2025_3Q,2025-07-01,Nepal,Malaysia,200,2.76,2.76,,14,64.3
2025_3Q,2025-07-01,Nepal,Malaysia,500,1.96,1.96,,14,64.3
